tag,muscleGroup,language
abduttori,glutes,it
abs,abs,en
addominali,abs,it
adduttori,glutes,it
avambracci,forearms,it
back,back,en
biceps,biceps,en
bicipiti,biceps,it
calves,calves,en
cardio,core,en
chest,chest,en
core,core,en
curl,biceps,en
deadlift,back,en
deltoideanteriore,shoulders,it
deltoidi,shoulders,it
deltoidi_posteriori,rear_delts,it
deltoidilaterale,shoulders,it
deltoidiposteriori,rear_delts,it
dorsale,back,it
extension,triceps,en
femorali,hamstrings,it
fly,chest,en
forearms,forearms,en
gambe,quads,it
glutei,glutes,it
gluteo,glutes,it
glutes,glutes,en
grandegluteo,glutes,it
hamstrings,hamstrings,en
ischiocrurali,hamstrings,it
legs,quads,en
petto,chest,it
pettorale,chest,it
pettoraleinferior,chest,it
pettoralemedio,chest,it
pettoralesuperior,chest,it
polpacci,calves,it
press,shoulders,en
pull,back,en
push,chest,en
quadricipiti,quads,it
quads,quads,en
rear_delts,rear_delts,en
row,back,en
schiena,back,it
shoulders,shoulders,en
spalle,shoulders,it
spintaanca,glutes,it
squat,quads,en
trapezi,traps,it
traps,traps,en
triceps,triceps,en
tricipiti,triceps,it
